Firstnames,Lastnames,Fathername,Mothername,Gender
SERTER 222,BAKAY 2813,DAVUT 39477,BASRIYE 424,M
POLAT 3721,ERTAN 11804,BUBO 393,IFAKAT 4755,M
FEYAT 1330,AKBAL 7475,ABTULLAH 271,KUMRI 2033,M
NATIK 268,KELESOGLU 3166,CUNEYIT 1275,GULFINAZ 512,M
BEDIA 18448,BORUCU 1553,ALAADDIN 6147,VARTUHI 182,F
IKRAM 2915,ABIK 1316,GULHAN 1209,NEZLA 142,F
GOVERCIN 218,KOCAOZ 744,ASLAN 14539,GUSSUN 854,F
MUKADDEM 103,UNGOR 1786,CIHAN 40260,SEVIKE 216,M
NEGIHAN 128,AZ 612,EMIR 8662,KUBRA 37794,F
SAHRA 666,YALGIN 1011,MULLA 1385,TEZEL 100,F
NERGUL 2004,SARAK 1257,ERSIN 44628,FERAHAT 132,F
RAMAZAN 286396,DOGAN 281285,HUSREV 1112,SERIFE 164461,M
YASARE 1659,CELLIK 1221,SEYIT 24865,SELAMIYE 128,F
ZALIF 124,TUTAN 1997,MURTEZA 1646,SAHILE 255,M
NICMI 125,POLATKAN 606,SERHAN 6422,BEYHAN 26001,F
EMIC 205,IBIL 728,SECKIN 8449,SOYLEMEZ 757,F
SAHVELET 127,AKOVA 2031,NAZIR 1877,YURDUSEN 261,M
NEVGUL 110,ERGE 574,CAGLAYAN 1843,SABRIYE 38474,F
APTULLAH 1264,BASKAN 7332,TESLIM 268,NURDAGUL 2001,M
YILDIRAN 223,DUYGU 2820,ZIYA 40347,GOKCEK 427,M
ZUBEYDA 2763,KOCAKAPLAN 1309,FAHREDDIN 1162,RESMI 141,F
GULYETER 844,YANIKOGLU 1065,ALATTIN 2909,ACAR 107,F
ELMASIYE 191,KOCAKULAK 706,DEVRIM 4211,NURTAN 634,F
HAYEL 231,UNUR 759,NECDET 28208,SENCAN 995,F
HALIL 288923,ARSLAN 295089,TUNCEL 1116,OZLEM 165689,M
PURUZE 308,KICIK 834,OZGUN 2446,MUHABBET 2010,F
TURCEYIN 142,TUREYEN 637,RIDVAN 33337,HALIDE 15213,F
ILKAY 13337,DEREBASI 1508,SALMAN 4474,SIMSIR 175,F
CEMGIL 109,TOSUNOGLU 1872,UGUR 103664,HAMSE 228,M
LEFIKA 308,ALTINTEPE 834,KANBER 2457,REZAN 2016,F
SULLU 223,ASIL 2820,HAMZA 40501,NURSEMIN 428,M
TERCAN 329,GEVSEK 854,VEYIS 3259,SENIZ 2458,F
KAYAALI 103,BASDEMIR 1787,SUAT 41030,NURSABAH 216,M
NARINC 833,BASA 1060,VASFI 2803,METIHA 107,F
SABIRA 169,UR 677,REMEZAN 1859,SAYAN 491,F
ZUMRAY 216,BASYURT 739,TUNCER 11962,IKRAMIYE 826,F
RAMISE 404,GUNINDI 905,EDIP 9586,EVRIM 5256,F
BELGIN 110,KOKTAS 1881,OMER 279963,ISMIGUZEL 230,M
YASEMIN 148887,CITIR 1731,LUTFI 25373,TASVIRE 207,F
SEKER 3563,DULEK 1349,ISIK 1412,GUN 146,F
ZILFI 1361,AYGAN 1180,TUNCER 11962,IFTIHAR 122,F
HATEME 111,BAYKA 576,UMRAN 2094,BAHAR 45253,F
KUMAS 109,UMUL 572,AYVAZ 1673,NURHAN 31941,F
NEBAAT 106,ENIS 564,GOKALP 1339,SEHRI 19281,F
HADIKA 200,ESKIKOY 720,SALAHATTIN 6176,ELVIDA 704,F
HACAR 352,SENOZ 871,SUREYYA 4378,MEKIYE 3128,F
MEBRULE 444,TORGUT 928,HASIM 15887,SENIHA 7403,F
ELFIDA 687,TAYMAZ 1019,ALPEREN 1511,SASINE 101,F
EMIRE 4409,SERCAN 1379,ZIVER 1833,SAVET 153,F
GARIBAN 109,KARAFIL 572,AYCAN 1690,SAZIYE 33819,F
HATEM 1004,TILKI 6530,ERDAL 84805,MIYESE 1591,M
ABDILKADIR 511,KULAK 4626,SEZER 8624,GULNAR 944,M
NEFI 155,KONYA 2287,DURALI 4594,PURUZE 308,M
ZEHRIYE 111,CILA 575,FARIS 1951,ASLI 41513,F
GUMUS 1007,OZKOSE 1105,SUREYYA 4378,NUTKIYE 113,F
FATI 2966,TOLAN 1320,VECDI 1238,GALINA 142,F
GUNFER 167,CATALTAS 674,VAHDET 1763,BENAL 482,F
OZHAN 3611,BOYRAZ 11605,MASHAR 390,SEVIYE 4602,M
SADIFE 2415,OTURAK 1290,HACI 87141,YASIYA 138,F
NURKADIN 643,KIRLIOGLU 1004,SANI 1325,NEVIN 46713,F
MUNIP 804,GOKER 5785,SONER 36678,NAKIYE 1338,M
SENOL 1207,GEZ 1157,YENER 8513,MUBAREK 119,F
KORAL 256,ALTINTOP 3039,HUSMEN 1155,NEVREZ 488,M
HISAMETTIN 130,AMAC 2068,MEMIK 2191,SAMRA 267,M
ZULAL 3159,KAKIZ 1330,OZAL 1266,SEFER 144,F
M.ZEKI 249,RENCBER 3005,SALIH 156871,ZERGE 473,M
SEHBAL 202,ALAYLI 723,KUBILAY 6815,ACELYA 715,F
GUMRAH 110,KEKLIKCI 1880,ABDULLAH 202199,SEYDI 230,M
YUNUSEMRE 144,KARAKOCA 2191,MAZLUM 3357,GULISE 289,M
NIL 3220,DEMIRASLAN 1335,AYKAN 1328,ESMAN 144,F
SIYABENT 139,GUNDEM 2148,GUNDUZ 2976,CEYLA 280,M
FIRDEZ 170,DURUSU 678,MUKERREM 1992,NAZHANIM 496,F
TANIL 182,OGMEN 2525,FEYZULLAH 10871,TEKGUL 353,M
MUSLUME 3212,KAZANC 1334,CINAR 1321,GULICI 144,F
DIKRAN 224,SANVERDI 2833,DOGAN 44876,KEMILE 430,M
NERKIZ 202,YOLOGLU 724,YIGIT 6861,MERSIYE 718,F
EMIRHAN 1834,EKMEKCI 8747,ARTIN 306,ZINI 2621,M
MERTALI 113,YILMAZOGLU 1906,MUKADDER 1185,SAHZENE 235,M
GURKAY 115,GUMUSAY 1927,APTULLAH 1264,GUZUDE 239,M
KURSAT 8357,CIL 17298,VEJDI 510,SEDEF 10136,M
AYCAN 8377,DOKUYUCU 1458,FEDAI 3183,SERYA 166,F
REYHANE 1074,TIRPANCI 1121,FERUDUN 5389,SELINAY 115,F
GULSEHER 2164,AGIL 1272,IRFAN 61499,MERIHAN 135,F
PERISAN 4739,ATAKLI 1384,FARIS 1951,HAFSAT 154,F
FULDEN 555,ERBASI 973,YAKUP 73875,NAFIYE 19798,F
SEYFEDDIN 1103,TUYSUZ 6783,RAMAZAN 286392,ESMEHAN 1690,M
ASEF 675,KARPUZ 5421,SATILMIS 23411,VIJDAN 1201,M
FEHMINAZ 153,BEKAROGLU 655,AHMET 832581,GULUZAR 37632,F
OKSAN 1347,PILAVCI 1178,OLCAY 11721,NERGUN 122,F
OKSAN 102,ANLAR 1766,HAMIT 35369,SURUYE 213,M
MAHMUT 168177,OZKAN 157206,EVRIM 1083,HACER 147168,M
CAFIYE 607,CIGIR 994,EDNAN 1178,HASIBE 34569,F
BAHCELI 140,ONAN 2164,MUHYETTIN 3090,GEVRIYE 283,M
ALMILA 241,GUVELI 771,MUAMMER 49985,MELISA 1106,F
AJLAN 185,OKATAN 2545,TUNCER 11962,AMBER 357,M
TALI 117,HILALOGLU 588,BERKAN 3190,UNZILE 10491,F
ULKU 1490,GUNEL 8010,MUTULLAH 289,SAHIZER 2293,M
FERIK 263,KOCAGOZ 3111,DEVRAN 1239,AFRA 499,M
GULCEMAL 128,SURAL 2049,ALTUG 2076,SARIYA 263,M
CEMALINUR 162,NEGIS 667,SAFI 1424,DONDU 87558,F
FERIDON 115,SARIER 1928,OZAL 1266,FEDVA 239,M
AHMET 832583,SAHIN 406699,MAHSUN 1129,HATICE 687370,M
NURIYE 75494,DIKILITAS 1704,RESIT 18897,EDALI 202,F
KURTMAN 102,YURDUSEVEN 1770,MUHAMMED 35475,NESRIYE 213,M
AKILE 6164,DER 1422,DOGUKAN 2526,AYSAL 159,F
UMMIHAN 2248,ATIL 1279,YASIN 69429,NURSAC 136,F
BAYKAL 906,DUZ 6217,VELI 58388,GOKSEN 1496,M
SALIH 156873,CAKIR 145580,UYSAL 1071,SONGUL 132669,M
HACIRA 199,TARAKCIOGLU 719,ABDI 6017,NAZEN 700,F
MUSURE 167,OVUC 674,TAYYIP 1712,MEYRAM 480,F
ERHUN 137,OGUTCU 2137,BEYHAN 2861,BIGE 277,M
CILEM 4779,ASIR 1385,CANIP 1989,VALENTINA 155,F
ZEMRETE 137,SAYAL 629,AKIN 18920,ELIF 216261,F
HINDIYE 239,KERSE 769,SUAT 41030,ZIKRIYE 1075,F
HACCA 620,TEMIZSOY 998,HALILIBRAHIM 1243,BIRSEN 40640,F
DURGUL 567,KEPIR 980,MESUT 87974,SELIME 23508,F
SENCAN 248,KOPUZ 2999,EMIN 120603,HACCE 469,M
ABDULCELIL 2445,SANCAR 9777,DIYADDIN 338,ZERIFE 3209,M
SULTANPERI 100,KURTCA 549,VELI 58388,SEMRA 101225,F
GULMISAL 177,ALTUNHAN 687,TEYFIK 2554,BERFIN 539,F
NECIM 789,DUZENLI 5712,IZZET 34903,AYSETE 1312,M
ALLAHVERDI 811,DILER 5830,CAFER 39088,NARIYE 1360,M
ILKGUN 101,SAGINC 552,SUKRU 82937,DURIYE 10718,F
SEFIRE 174,KARAYOL 683,MIKTAT 2295,SERHAN 517,F
HURRIYET 638,RUZGAR 5257,RAFET 17705,SABAH 1134,M
NURSEVIL 192,TASA 708,ZEKERIYE 4294,ZEYNAP 645,F
MUHAMMER 4226,URAL 12580,HARIS 414,GULLER 5464,M
ZULFUKAR 2601,SAYGILI 10093,MUNZUR 347,CAVIDE 3407,M
NIMETULLAH 1067,ALGAN 6710,HAKAN 156932,SARAY 1659,M
YADIN 499,ARAC 4545,ABDULVAHAP 7884,SECGUL 924,M
BEHRIYE 134,GECMEZ 625,MERT 15366,GONUL 81977,F
SATU 5382,KARADANA 1404,BASAR 2203,RUKIYA 157,F
ABDULKERIM 14698,KOROGLU 24506,ABDULBASIT 605,GOZDE 16706,M
SEZGUL 133,UGURLUOGLU 623,TURHAN 13325,PERIHAN 70837,F
BILLOR 403,INTEPE 905,ABDULAZIZ 9510,GULUSAN 5232,F
HABBA 101,ERISIK 552,KENAN 86066,MUGE 10785,F
HABES 757,BABUR 5636,AKIF 31091,SEVDET 1280,M
HAVIS 150,IRIK 651,HACI 87141,FIDAN 28430,F
NEZIHA 17210,CAG 1545,CIHANGIR 5702,GOZE 180,F
IFTIHAR 122,YILMAZKAYA 601,PASA 4837,BEDIA 18448,F
YUKSEL 44158,CAGIN 1652,UZEYIR 12338,IBADET 195,F
MESIH 129,BILIM 2052,ORUC 2095,YAZE 264,M
HAMUT 183,CELEBIOGLU 2532,ABUZER 11225,NADRIYE 355,M
MURAT 440126,OZTURK 361309,GOKTUG 1123,SULTAN 179164,M
HASANHUSEYIN 339,TANIR 3604,KANBER 2457,AFIYET 641,M
MEFTUNE 835,TENEKECI 1061,MUSLIM 2825,KEMAN 107,F
RAYIF 753,BOZOGLU 5623,ONDER 30475,HANIMSAH 1269,M
CUMHURE 106,KEYVAN 566,HAKI 1379,UMMUGULSUM 21314,F
BANIYE 208,ILBOGA 732,AYTAC 9437,EMISE 777,F
GULSIMET 143,OKSAS 640,CIHAN 40260,NEZIHA 17210,F
MARINA 249,SALT 781,ENGIN 71989,GARIP 1170,F
AZIMET 537,MANAV 4801,DERVIS 10118,AYBUKE 991,M
METIN 154714,KORKMAZ 144092,NIMETULLAH 1070,ZELIHA 131366,M
VESFIYE 191,HACIHASANOGLU 705,TASKIN 4056,SUREYA 625,F
MERIHAN 135,KASA 626,SERDAL 16617,ESRA 98943,F
SIDIKA 27559,BEYAZGUL 1604,METE 8901,RUSTIYE 189,F
AKIN 18920,ONDER 29827,TOLGAY 651,SABAHAT 21222,M
NESLEHAN 399,EKENEL 901,FERIDUN 8768,BILGI 4865,F
HUSMEN 1155,ERDOGMUS 6978,EKMEL 256,HASENE 1774,M
YUSUF 252190,CETIN 208684,SEYFEDDIN 1104,HANIFE 155110,M
HULUSI 11927,GIRGIN 21325,ADALET 574,NECIBE 14117,M
CANSIN 342,BOZALI 864,CEZMI 3806,HUSNUYE 2786,F
SEYDIYE 160,CARUS 663,SAMED 1343,ESMA 68164,F
ASLIGUL 292,CUNEDIOGLU 821,CAGLAYAN 1843,TALIHA 1714,F
BIRKAN 260,AYMELEK 792,ALI 1026732,YAYLA 1282,F
ISHAK 10059,GENCER 19389,ERALP 538,SUKRUYE 12259,M
GULFUZ 229,TAKA 757,NEDIM 24935,SEZA 973,F
NEZAHET 1187,BAYTEMUR 1152,ABDULVAHAP 7884,MEMNUN 118,F
NARIYE 1360,ALTUNTOP 1179,ABBAS 11931,LISAN 122,F
ISMAIL 417627,AYDIN 358852,OCAL 1119,HULYA 171129,M
SARP 602,KEKEC 5097,ASLAN 14539,SAHRE 1081,M
GURSAT 177,ARTIK 2480,TACETTIN 9009,SUSLU 343,M
VAKIF 426,YUCEDAG 4168,SULTAN 4578,CAIZE 790,M
NURSIYE 136,SULEYMAN 628,REFIK 17575,LEYLA 137453,F
GULIFER 119,YESILCAY 594,ABDULMECIT 3784,ZERRIN 13516,F
HAPSE 114,YESILOT 582,ALAEDDIN 2570,YILDIZ 74384,F
AYDAN 6661,AKKUL 1431,OKAY 2724,GARIBI 161,F
AYBALA 243,KANDIS 773,DURMUS 51867,SELMIN 1115,F
SELHATTIN 428,KARACAY 4171,TUNA 4599,BASRA 791,M
REFIYE 7107,BECEREN 1439,TALHA 2861,SUNAR 163,F
SEHNAZ 5631,BOZLAK 1413,MIKTAT 2295,CUMHUR 157,F
YURDUSEV 113,DOMAN 578,HUDAVERDI 2269,DUDU 57082,F
KESIM 207,TASKAYA 2722,SERAFETTIN 24905,NAYLE 396,M
ISTEMI 109,BAT 1866,CENGIZ 91184,FARHA 227,M
SONMEZ 1724,SERBEST 8560,DAGHAN 302,NAVRUZ 2528,M
SERGEN 103,DALKILINC 1781,OKTAY 38126,ZUMRUYE 215,M
RUHSAN 344,MICOOGULLARI 866,ERSEN 3963,EVIN 2865,F
ALAADDIN 6147,BARUT 14866,HALID 463,FADILE 7804,M
MUTLU 3218,AKTAG 1334,SANI 1325,GOGUS 144,F
GUSUM 152,CINKO 654,ABDULLAH 202199,OZNUR 34812,F
ZEYNEB 1107,BALCILAR 1131,YUNIS 6023,ASLANIYE 115,F
NEVAF 567,KOLAY 4919,RUSTEM 11809,UMMUYE 1031,M
AYNEY 209,HANCAR 733,NAMIK 9686,CIYDEM 780,F
HALIDE 15213,EZGIN 1524,MUHTEREM 5027,ZERUK 178,F
GULPAZE 100,BASKALE 550,EKREM 68078,DILEK 149858,F
ZISAN 1123,ERZURUMLU 1136,SERHAN 6422,MUHRIYE 116,F
EMRAL 211,KURGA 735,ERAY 10494,ASLIYE 791,F
GOKALP 1339,DAGDEVIREN 7486,OZDEM 273,NURE 2037,M
SEMIYE 4292,SAYILI 1375,NADI 1764,NAFIDE 152,F
BEHIC 791,KARALI 5714,SERIF 35247,MUNEVER 1316,M
ZEYIT 199,DURMUSOGLU 2662,NURULLAH 18836,GULEREN 383,M
DELILA 241,ONOL 771,NEVZAT 48149,HACI 1100,F
ILKE 400,SARAL 4040,ABDUL 3932,NAZENDE 755,M
OKHAN 222,BADUR 2813,FEVZI 39500,ZILFINAZ 425,M
TUGSAN 138,ASLANHAN 2139,TELAT 2896,BEYDA 278,M
SADI 107,YENIYOL 567,MEHMED 1393,KADER 23147,F
AZADE 241,NURDOGAN 771,AZIZ 49206,HORIYE 1101,F
SEBAHATDIN 153,AKI 2269,INAN 4251,INZILE 304,M
AYLA 35745,TOROS 1638,GUNGOR 10690,NEZEHE 192,F
NUTIYE 267,ASKAROGLU 798,SEYDO 1242,SELCEN 1382,F
MARUF 2109,HATIPOGLU 9133,TEMER 320,ZAHRA 2874,M
ZELIHA 131363,GOKBAYRAK 1729,SERAFETTIN 24905,SUMEYE 206,F
MUDUR 256,YAZAN 3034,ZEYNETTIN 1155,NURSEFA 488,M
AYNUR 259,BENEK 3074,MUKADDER 1185,BALKIZ 493,M
EMRECAN 207,KASAR 2726,TARIK 24957,IMRAL 397,M
TEYIP 109,KIRAT 1861,ARIF 83859,MEVSIM 226,M
ZALIHA 383,HISAR 893,BATTAL 6939,ADEVIYE 4169,F
SEYYIT 449,ABA 4330,CIHANGIR 5702,AYBIKE 842,M
ATES 744,SATIR 5592,UMUT 29199,RADIFE 1252,M
VELID 197,KARABAYIR 2649,GURKAN 17587,AYGEN 379,M
SIMIN 196,CANARSLAN 714,ALIRIZA 5092,REVASIYE 676,F
PERIZE 447,ULUHAN 931,HUSAMETTIN 16714,FADILE 7804,F
ARAKSI 151,ABAT 653,HAKAN 156932,SAZIYE 33819,F
HACIK 188,SARIASLAN 2554,LATIF 12912,MUSEBBIYE 362,M
MEHRI 2742,AYDINLIOGLU 1308,ZEYNI 1158,SEBILAY 141,F
AZIZIYE 115,KALAYLI 585,FETI 2934,CEMILE 123472,F
SAFIGUL 549,CERRAHOGLU 971,ADNAN 67491,BANU 19087,F
SULEYLA 262,OZYAMAN 794,HUSMEN 1155,MEVLIDE 1307,F
HAFIDE 269,YOLALAN 800,MULAYIM 1257,AKIDE 1409,F
MAHIRE 2801,SERTBAS 1312,HASMET 1171,MUKATDER 141,F
DUYGU 262,BABAOGLU 3091,ERSUN 1211,GULCAY 497,M
SEVKAN 144,SOLAKOGLU 2192,ARAP 3362,TERFA 290,M
EMMUN 444,SAVASKAN 928,TALIP 16126,GANIME 7476,F
TURKAY 2314,SOZEN 9499,BERKIN 335,KUMRU 3128,M
NAME 1579,BOZKAN 1209,ERDINC 19436,EFIDE 126,F
ZELFINAZ 176,YAKIT 686,RAHMAN 2472,EMRA 530,F
LETIFE 791,KIRDAG 1051,OZGUN 2446,ADILSAH 105,F
ABDULILAH 249,TUREDI 3011,FATIH 180101,FERYAT 474,M
UMMUGULSUN 1021,PALANCI 1107,SAADETTIN 4558,INCIHAN 113,F
HAYRINNISA 151,SENCAR 653,BAYRAM 124849,ZUHAL 31827,F
BANI 454,TURFAN 934,RAFET 17705,AYCAN 8377,F
ESMANUR 207,GOKYER 730,NECAT 9029,SEMSEY 772,F
SEVINAY 115,TEKOGLU 583,KIYASETTIN 2750,DONDU 87558,F
HEDI 301,BIRBEN 827,OKKAS 2150,DURAN 1868,F
FADIMA 4807,SENGULER 1386,MUKERREM 1992,SUMME 155,F
NAHIDE 19302,ORTAKCI 1567,SUPHI 6624,AYBENIZ 183,F
HAKAN 156937,SIMSEK 147187,SELAMET 1078,AYNUR 137140,M
FESIH 6615,YAKUT 15434,HAZAR 475,GAZAL 8377,M
HIYASETTIN 311,KILINCARSLAN 3442,BULUT 1934,ZERI 597,M
KUKUS 155,ISTEKLI 657,HUDAI 1164,DUYGU 41928,F
FATIH 180101,KURT 161857,ASIL 1093,YASEMIN 148887,M
VILDAN 101,KUZEY 1751,ONDER 30475,MEYREME 210,M
NECLE 249,DOYRAN 780,RIZA 71483,SUPHAN 1168,F
SAHINDER 1908,YAZGI 1250,FUAT 37922,MAHSUME 131,F
EYUPHAN 352,TOPAK 3691,KIYASETTIN 2750,SEFERIYE 671,M
BENAN 347,ULUCAN 3654,MUFIT 2636,ZURIYE 662,M
FERAYI 376,ARGIS 888,AZMI 6351,KANIYE 3888,F
YAPRAK 2453,CALGICI 1291,CEMAL 95670,MISAL 138,F
TARFA 393,GENCDAL 898,BEKTAS 8059,GOKCEN 4453,F
SEFINE 786,DEVELIOGLU 1048,IMRAN 2345,HALIFE 105,F
ZULBUYE 113,MASA 578,ERKIN 2258,GUL 55480,F
FADIS 222,PALTACI 748,RESAT 16886,SABIR 891,F
NESIL 107,SUNGER 1841,BILAL 66640,RUKYETE 223,M
YASASIN 138,GULCICEK 2138,NESAT 2883,HEMIDE 278,M
FUAD 215,DEGIRMENCIOGLU 2778,DENIZ 32900,MEVLIDIYE 413,M
BILGENUR 104,TULPAR 560,KUCUK 1237,TULIN 16548,F
GULFAN 141,KAC 636,YUCEL 31937,GURBET 14845,F
EDIZ 1458,BALIK 7966,LISAN 288,RUSEN 2256,M
LALIZAR 341,SONAY 863,MAHSUM 3736,TAYYIBE 2722,F
EDHEM 478,TURKAY 4450,BATTAL 6939,SABIR 891,M
SUDIYE 1934,KESLER 1251,DAVUT 39477,CILNAZ 131,F
NEDA 180,OZEKIN 692,ALISAN 2848,KEMALIYE 556,F
GULMEZ 125,ESKIL 606,ONER 6535,HUSNIYE 26610,F
TARIFE 352,CAPAROGLU 869,OZDEMIR 4276,FAIZE 3084,F
NECAATTIN 335,BIRGUL 3567,IDIRIS 2318,ALMAST 628,M
TUDU 102,CENGIZHAN 553,UGUR 103664,ULVIYE 11860,F
UNSIYE 163,GUNYELI 667,ZIYAETTIN 1434,NURCAN 89383,F
SAADET 463,EKMEN 4358,KUDRET 6175,KOCERI 861,M
OZLEN 762,KIZILATES 1040,NABI 2119,HASINA 104,F
ZELVI 105,GUNGORUR 560,SERMET 1242,DURDU 16604,F
BULUT 1934,MUSLU 8906,AYDAN 311,TEVRAT 2696,M
ILKIM 228,SIVIS 755,HALIS 23149,SEYDE 952,F
KEZI 189,CUMALI 704,TAHA 3807,CEMANUR 615,F
BEYAN 321,BEGEC 847,HAZIM 3005,TURKIYE 2327,F
MUSTAFA 991409,DEMIR 463854,HULKI 1135,EMINE 787300,M
MUHABBET 2010,KURDOGLU 1258,CETIN 45408,BALA 132,F
BAISE 636,GEMALMAZ 1003,BUNYAMI 1298,RAZIYE 45362,F
SEZAN 273,AKALTUN 803,ABDULSEMET 1340,RENGIN 1488,F
BILGEN 109,LIMAN 1872,GOKHAN 114380,ERDIHAN 228,M
SAHAN 168,YELEN 675,KADER 1788,GULLUSAN 483,F
KEMAL 181997,KOC 167971,DOGUS 1094,ZEHRA 149354,M
NURIDDIN 529,URHAN 4765,YILDIRAY 9241,SAHZADE 967,M
SENTURK 1344,SAYGI 7539,PEYAMI 275,NESLI 2044,M
ATLAS 287,AGBAS 818,BISAR 1676,VATHA 1631,F
SAHSENEM 2311,KULU 1283,MUZAFFER 75073,EMO 136,F
AYDANUR 990,ALTUNOGLU 1101,MAKSUT 4196,KATRIYE 112,F
ZEYNEBA 145,ISIKHAN 643,BARIS 50032,FETHIYE 19048,F
FERZAN 461,BUKULMEZ 937,SEZAI 19389,MUMINE 8876,F
MUSRIKA 186,GAYRET 699,ULVI 3373,TORUN 598,F
FATIMETUZZEHRA 101,CAKMAKKAYA 552,HACI 87141,ALTUN 10809,F
KIYMETI 130,ERGON 617,SEYFI 10592,NAZLI 48448,F
YUCE 304,ARMUT 3400,ISAK 1812,RABIHA 584,M
HASSE 120,TANAY 596,ABDIL 4197,DURSUN 15564,F
NAMUK 229,YESILOVA 2855,BARIS 50032,GULSERI 434,M
KOPUK 224,KESLI 750,NECIP 17941,BENGI 908,F
MELTEM 30726,EMEC 1612,ABDULAZIZ 9510,TAYIBET 191,F
SEBIH 263,ORAKCI 3098,BAHITTIN 1218,SERBET 499,M
MERTER 384,YESILTAS 3919,TEOMAN 3363,HANIMZER 718,M
REMZIYE 72659,ATCEKEN 1700,SABAHATTIN 17946,NERKIZ 202,F
MENEFSE 210,GURDAG 734,ISHAK 10059,FATME 787,F
SEBBOY 137,GEREKLI 629,ERDINC 19436,GULNUR 10370,F
SERINGUL 750,SAGLAMER 1038,ALTUG 2076,ZEMMO 104,F
ALP 5827,SUMER 14614,SERTIF 456,SENIHA 7403,M
GUNDAY 180,AYSAN 2504,DERVIS 10118,ZELA 350,M
BEHRAM 798,SUER 5769,HAMDI 36673,GULFEM 1335,M
OLGUN 4554,ALICI 13005,SIHMUSLUM 425,DILARA 5893,M
ELIZABETH 124,TORBALI 605,YUNIS 6023,BAHRIYE 23979,F
EYVAZ 268,ADAR 3167,MERDAN 1285,ZUMEYRAN 514,M
DEMIRE 161,ERENSAYIN 666,DEVRIS 1387,SANIYE 76535,F
SENAL 560,DILMEC 977,SABAN 79016,AYSEN 20779,F
MAVIYE 1353,PUSKULLU 1179,SIRIN 11878,MUNUS 122,F
SABETTIN 640,USTAOGLU 5263,SABAHATTIN 17946,YENIGUL 1136,M
NAZIMA 145,CIBIKCI 644,YAVUZ 52126,HADICE 19763,F
ABDULHADI 2235,KONUK 9330,KAZI 330,DELAL 2996,M
RUCHAN 325,OZMERT 851,MAZHAR 3114,TAMAM 2400,F
GULHADIYE 238,CIVEK 768,CUMA 39999,VELIYE 1069,F
SALAHETTIN 248,DENGIZ 3001,SERKAN 121284,GULYASAR 469,M
ISIK 3617,KALDIRIM 1351,GUNES 1436,TELCE 147,F
ZUBEYT 306,YORGUN 3407,SEMIR 1831,MEYASE 586,M
DANE 104,BAGLAM 559,ABDURREZZAK 1226,PELIN 16313,F
IKLIMA 403,SEPET 905,BEDRI 9406,SALIME 5195,F
SAYGI 177,OZBUDAK 2476,ABDULBAKI 8932,FATIMANA 342,M
ASKIN 7074,GUNDOGAN 15936,LAZGIN 483,BASAK 8773,M
ANIK 181,GOLGELI 694,GUNDUZ 2976,DURGUL 567,F
MESKURE 1549,AYGOR 1205,SABAHATTIN 17946,TASIHA 126,F
SELVET 2549,DENIZER 1297,KEMAL 181997,LEVIZE 139,F
GUNAYDIN 506,OLMUS 959,DAVUT 39477,SEYMA 14034,F
ONCU 291,ISERI 3305,SEDRETTIN 1543,SENAL 560,M
MEKI 331,TEKES 3548,ERKIN 2258,BESNE 624,M
GULENDAM 3862,CINGI 1360,SEDRETTIN 1543,MAZLUM 149,F
DERDINAZ 107,YAVUZEL 569,ALIHAN 1454,HUSNE 25167,F
NAILE 23425,BOSTANCIOGLU 1581,RUSTU 7472,NADIFE 186,F
FINDIK 3198,GUMUSKAYA 1333,UBEYDULLAH 1313,HADDUC 144,F
RAMAZAN 286398,DOGAN 281287,HUSREV 1114,SERIFE 164463,M
FERDAL 122,ERCELIK 1984,ZEHNI 1530,MAHMUDIYE 250,M
RENA 116,KARADOL 586,MELIK 3026,HANIFE 155109,F
GULFEM 1335,ELCICEK 1176,SITKI 11278,SADINAZ 122,F
SEVKIYE 5238,CANKARA 1395,ZEKAYI 2141,HEZAL 156,F
ELIDE 104,HOKE 559,KARANI 1217,SELVI 16025,F
SABA 240,ALKILIC 769,ERSIN 44628,SAHRE 1081,F
ILHAM 348,ALYANAK 867,FERHAN 4128,NIDA 2950,F
KAYHAN 4868,GULEN 13363,OMERUL 432,BESRA 6239,M
GUNEL 509,NEMLI 960,SUAT 41030,GURBET 14845,F
CAGLA 5514,KILIT 1411,HUDAVERDI 2269,EMINEGUL 157,F
ALAEDDIN 2570,GURSES 10087,EYYUB 346,FELEK 3387,M
DURMAZ 235,DEVECIOGLU 2914,ERHAN 63715,FERIZAN 447,M
DOGUHAN 183,TOLU 2534,MECIT 11273,ZURIYET 356,M
RUHAN 587,KOLCU 5013,NAIM 13178,GUHER 1053,M
SULEYMAN 214216,ASLAN 208162,LEZGIN 1109,AYSEL 154645,M
RUHAT 148,SAPAN 2231,ZULFIKAR 3771,HEDLA 297,M
OZEL 1037,ULKU 6651,YILMAZ 108808,VATHA 1631,M
HENIFI 264,ARAN 3115,HALILIBRAHIM 1243,ULGEN 503,M
ERTURK 870,BABAYIGIT 6074,BARIS 50032,MUZEYEN 1433,M
RESAI 122,SIPAL 1980,SIYAMI 1476,HAZARI 249,M
GULMINE 104,AYTEPE 558,ZEYNELABIDIN 1208,MESUDE 15751,F
DUR 151,SENGEL 2265,FETTAH 4124,SEMIHAN 302,M
NAYIME 1581,BAKAL 1210,FAIK 19698,CANFIDE 126,F
RACIYE 386,SENYUREK 895,RAHIM 7307,IMREN 4236,F
